visited,region1,line,area_ja,area_ko,name_ko,naver_url,google_url,address_road,address_lot,menu,source,notes
,釜山,１号線,西面,,기장손칼국수,https://naver.me/xtgpECFc,,부산 부산진구 서면로 56,부산 부산진구 부전동 256-6,カルグクス,インスタ,インスタで発見 麺モチモチ 皆んな絶賛
,釜山,１号線,西面,,송정3대국밥,https://naver.me/GfCsEbvp,,부산 부산진구 서면로68번길 33 송정3대국밥,부산 부산진구 부전동 255-19,テジクッパ,,テジクッパ通り 伝統店
,釜山,１号線,西面,,포항돼지국밥,https://naver.me/5vcHoDQO,,부산 부산진구 서면로68번길 27 포항돼지국밥,부산 부산진구 부전동 255-14,テジクッパ,,テジクッパ通り 美味しそうな店
,釜山,１号線,西面,,문화양곱창,https://naver.me/GyYb1HMM,,부산 부산진구 가야대로784번길 56-8,부산 부산진구 부전동 519-18,コプチャン,各メディア,屋内に番号がついたイモの店が沢山並んでいるところ
,釜山,１号線,西面,,나영상회,https://naver.me/GwpMe1yw,,부산 부산진구 서면로 56,부산 부산진구 부전동 256-6,両替所,コネスト,西面のお得な両替所として一番有名
,釜山,１号線,市庁,시청,콩게미 부산,https://naver.me/FRLn2mBv,,부산 부산진구 양연로 8-1 1층 콩게미,부산 부산진구 양정동 111-7,コングクス,,コンムルもある専門店。 カルグクスもある。
,釜山,１号線,教大,교대,국제밀면 본점,https://naver.me/56R6O9m8,,부산 연제구 중앙대로1235번길 23-6,부산 연제구 거제동 242-23,ミルミョン,,ヨンファ推薦 3大ミルミョン 맛집
,釜山,１号線,東莱,동래,동래할매파전,https://naver.me/5ne4QrBI,,부산 동래구 명륜로94번길 43-10,부산 동래구 복천동 367-2,パジョン（ねぎチヂミ）,,昔から行きたかった有名店
,釜山,１号線,久瑞,구서,가야밀면,https://naver.me/5du4aREz,,부산 금정구 금정로207번길 33 가야밀면,부산 금정구 구서동 470-13,ミルミョン,,ヨンファ推薦店
,釜山,１号線,斗実,두실,동원장수촌,https://naver.me/5D84ixyM,,부산 금정구 금강로 577,부산 금정구 구서동 654-14,緑豆参鶏湯・緑豆ベクス,,
TRUE,釜山,１号線,梵魚寺,범어사,금정산장,https://naver.me/5VmQJWO8,,부산 금정구 범어사로 259 1층,부산 금정구 청룡동 산2-5,オリペクス・オリプルコギ,,梵魚寺の入口近く 
,釜山,3号線,社稷,사직,승하집,https://naver.me/I55vhD7h,,부산 동래구 사직북로5번길 31,부산 동래구 사직동 89-3,野球選手の母の店,隣の国のグルメイト,デホ選手推薦 スンハ選手の母の手料理
,釜山,3号線,望美,망미,망미중앙시장,https://naver.me/xoH6kRqb,,부산 수영구 망미번영로 86-2,부산 수영구 망미동 603,市場,チャガネ,1年中 白菜などキムジャンに必要なものが買える
,釜山,3号線,水営,수영,국이네낙지볶음,https://naver.me/GeUR1wem,,부산 수영구 연수로 410,부산 수영구 광안동 1070-4,ナクチ,チャンネツアー,チャンネツアー訪問店
,釜山,2号線,毛徳,모덕,갈치회관,https://naver.me/FA2ftijT,,부산 사상구 낙동대로 1402 1층 갈치회관,부산 사상구 삼락동 356-1,太刀魚料理,隣の国のグルメイト,ミチョッタ 超超絶賛 太刀魚定食
,釜山,2号線,徳浦,덕포,안동돼지국밥,https://naver.me/G9r5twq2,,부산 사상구 백양대로 712 남영아파트 상가 안동돼지국밥,부산 사상구 덕포동 789,テジクッパ,ヒョンム計画,クァクチューブ地元民として推薦
,釜山,2号線,国際金融センター・釜山銀行,국제금융센터.부산은행,수타혜미칼국수,https://naver.me/GOPEwPdv,,부산 남구 문현금융로 4,부산 남구 문현동 770-1,カルグクス,ヒョンム計画,ヒョンム計画 マート裏行きつけ 薄味 冷たい麺が美味しそう
